time,x,y,v_x,v_y
36028800.0,159136332176.4981,158771907754.81107,-17501.20927319766,17270.878919850624
36072000.0,156096834606.82922,161741000712.8788,-17820.703477474966,16948.772481489767
36115200.0,153002418743.85004,164654145446.7999,-18134.090822071958,16620.643496104178
36158400.0,149854145623.37955,167510306961.47003,-18441.250743496228,16286.61195180818
36201600.0,146653096997.4723,170308471126.17505,-18742.065146627345,15946.800562431908
36244800.0,143400374904.35367,173047645143.0229,-19036.418478512333,15601.334713194414
36288000.0,140097101225.66486,175726858005.872,-19324.197800853155,15250.34240394501
36331200.0,136744417231.24792,178345160949.33707,-19605.292861091795,14893.954190007498
36374400.0,133343483111.71826,180901627887.45975,-19879.596161999347,14532.303120666045
36417600.0,129895477499.08691,183395355841.63904,-20147.00302967685,14165.524675335593
36460800.0,126401596975.71165,185825465357.4232,-20407.41167987676,13793.756697463903
36504000.0,122863055571.87158,188191100909.7739,-20660.72328255581,13417.139326216244
36547200.0,119281084252.27461,190491431296.42178,-20906.842024571415,13035.81492599787
36590400.0,115656930391.8231,192725650018.94266,-21145.675170436076,12649.928013873327
36633600.0,111991857240.977,194892975651.1941,-21377.133121046176,12259.625184945426
36676800.0,108287143381.06851,196992652194.7625,-21601.129470303975,11865.05503576066
36720000.0,104544082169.93616,199023949421.08362,-21817.581059554293,11466.368085811326
36763200.0,100763981178.25932,200986163199.9105,-22026.40802975982,11063.716697208292
36806400.0,96948161616.9878,202878615813.8169,-22227.53387134222,10657.254992601795
36849600.0,93097957756.27277,204700656258.43674,-22420.885471619044,10247.138771430906
36892800.0,89214716336.31818,206451660528.15536,-22606.39315976982,9833.525424585547
36936000.0,85299795970.58215,208131031886.9819,-22783.990749268116,9416.573847567905
36979200.0,81354566541.76956,209738201124.34793,-22953.615577719862,8996.44435224302
37022400.0,77380408591.06638,211272626795.59302,-23115.208544052046,8573.298577270965
37065600.0,73378712701.07643,212733795446.91388,-23268.714142999626,8147.29939731562
37108800.0,69350878872.92926,214121221824.5701,-23414.080496842536,7718.610831127309
37152000.0,65298315898.03726,215434449068.15704,-23551.259384348778,7287.397948598844
37195200.0,61222440724.98586,216673048887.77274,-23680.206266883717,6853.826776896342
37238400.0,57124677822.04888,217836621724.9245,-23800.880311650104,6418.06420576804
37281600.0,53006458535.82599,218924796897.03748,-23913.244412027583,5980.277892135836
37324800.0,48869220446.50499,219937232725.44687,-24017.265204985048,5540.636164075635
37368000.0,44714406720.255745,220873616646.7728,-24112.913085543645,5099.307924293701
37411200.0,40543465459.266304,221733665307.59662,-24200.162218272788,4656.4625532071295
37454400.0,36357849049.93452,222517124642.37418,-24278.990545806253,4212.269811737214
37497600.0,32159013509.73063,223223769934.54303,-24349.37979436989,3766.8997439249642
37540800.0,27948417833.247356,223853405860.7974,-24411.31547631737,3320.522579478267
37584000.0,23727523337.954483,224405866518.52396,-24464.78688967484,2873.308636360166
37627200.0,19497793010.1746,224881015436.41156,-24509.787114700124,2425.428223527559
37670400.0,15260690851.795443,225278745568.26562,-24546.31300746669,1977.0515439291448
37713600.0,11017681228.232258,225598979270.07706,-24574.365190487286,1528.3485978708086
37756800.0,6770228218.150851,225841668260.4146,-24593.948040396528,1079.4890868557393
37800000.0,2519794965.4584494,226006793564.2277,-24605.069672716483,630.6423180055048
37843200.0,-1732156965.9348927,226094365440.16498,-24607.741923733385,181.9771091669669
37886400.0,-5984168234.086676,226104423291.5323,-24601.980329518345,-266.33830519156646
37929600.0,-10234782357.232332,226037035561.03076,-24587.804102128863,-714.1363671932961
37972800.0,-14482546347.750362,225892299609.43506,-24565.236103032355,-1161.2502877752424
38016000.0,-18726011341.40432,225670341578.38568,-24534.302813796756,-1607.5141378222718
38059200.0,-22963733221.39171,225371316237.48956,-24495.034304097386,-2052.762938117496
38102400.0,-27194273236.738552,224995406815.93762,-24447.464197092944,-2496.8327480161665
38145600.0,-31416198614.58762,224542824818.8631,-24391.629632227217,-2939.56075275282
38188800.0,-35628083165.93843,224013809828.68292,-24327.571225516625,-3380.7853492942468
38232000.0,-39828507884.40749,223408629291.67548,-24255.333027387052,-3820.346230653787
38275200.0,-44016061537.588455,222727578290.06613,-24174.962478126712,-4258.084468585571
38318400.0,-48189341250.60359,221970979299.90326,-24086.51036102468,-4693.842594580527
38361600.0,-52346953081.45007,221139181935.02222,-23990.03075326787,-5127.464679089368
38404800.0,-56487512587.757324,220232562677.40692,-23885.580974671575,-5558.796408901192
38448000.0,-60609645384.58469,219251524594.27124,-23773.221534321576,-5987.68516260994
38491200.0,-64711987692.90245,218196497042.19348,-23653.016075207837,-6413.980084104586
38534400.0,-68793186878.41302,217067935358.64835,-23525.031316932163,-6837.532154022707
38577600.0,-72851901980.3834,215866320541.29114,-23389.336996574035,-7258.1942591108755
38620800.0,-76886804230.17487,214592158915.35843,-23246.00580780058,-7675.821259439226
38664000.0,-80896577559.17053,213245981789.5586,-23095.113338308292,-8090.270053421435
38707200.0,-84879919095.81686,211828345100.83295,-22936.738005685387,-8501.399640595357
38750400.0,-88835539651.51025,210339829048.3771,-22770.960991784814,-8909.071182123576
38793600.0,-92762164195.07599,208781037717.31805,-22597.86617569904,-9313.14805897706
38836800.0,-96658532315.60217,207152598692.4487,-22417.54006542838,-9713.49592776927
38880000.0,-100523398673.40715,205455162662.42783,-22230.071728335257,-10109.982774211969
38923200.0,-104355533438.93541,203689403014.8571,-22035.552720477204,-10502.478964168075
38966400.0,-108153722719.39215,201856015422.65167,-21834.07701491151,-10890.857292280854
39009600.0,-111916768972.94377,199955717422.12393,-21625.740929064596,-11274.993028162737
39052800.0,-115643491410.32672,197989247983.2027,-21410.643051258845,-11654.76396013091
39096000.0,-119332726383.72363,195957367072.2123,-21188.88416648939,-12030.050436480793
39139200.0,-122983327762.78171,193860855207.63754,-20960.567181542836,-12400.735404292243
39182400.0,-126594167297.66365,191700513009.3001,-20725.7970495491,-12766.704445767118
39225600.0,-130164134969.03787,189477160741.37415,-20484.68069405685,-13127.845812100495
39268800.0,-133692139324.92955,187191637849.66586,-20237.326932721924,-13484.050454891461
39312000.0,-137177107804.37036,184844802493.58264,-19983.8464006969,-13835.212055102844
39355200.0,-140617987047.7988,182437531073.2141,-19724.351473808856,-14181.227049582738
39398400.0,-144013743194.1793,179970717751.94623,-19458.956191610716,-14521.994655163931
39441600.0,-147363362164.82135,177445273975.02533,-19187.77618039018,-14857.416890360599
39484800.0,-150665849933.8965,174862127984.48727,-18910.92857621843,-15187.398594684671
39528000.0,-153920232785.66275,172222224330.86078,-18628.53194811898,-15511.847445607347
39571200.0,-157125557558.42136,169526523382.05127,-18340.706221435248,-15830.67397319401
